Sl,Team,2007/08,2009,2009/10,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020/21,2021,2022,2023
1,CSK,3,2,3,2,4,1,3,1,-,-,2,2,7,2,9,2
2,MI,5,7,1,3,3,2,4,2,5,1,5,1,1,5,10,4
3,SRH,8,4,2,7,8,4,6,6,3,3,1,4,3,8,8,10
4,GL,-,-,-,-,-,-,-,-,1,7,-,-,-,-,1,1
5,RPS,-,-,-,9,9,8,-,-,7,2,-,-,-,-,-,-
6,KKR,6,8,6,4,2,7,2,5,4,4,3,5,5,4,7,7
7,RCB,7,3,4,1,5,5,7,3,2,8,6,8,4,3,4,6
8,RR,1,6,7,6,7,3,5,4,-,-,4,7,8,7,2,5
9,DD,4,1,5,10,1,9,8,7,6,6,8,3,2,1,5,9
10,KXIP,2,5,8,5,6,6,1,8,8,5,7,6,6,6,6,8
12,KTK,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-